baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP-IG-JS,loss_EAP-IG-JS
0.2060437798500061,-0.07186384499073029,30,3,-0.0767584815621376,5,-0.06709075719118118,16,-0.05561377480626106,16,-0.05561377480626106
0.2060437798500061,-0.07186384499073029,40,5,-0.07702545076608658,10,-0.07190172374248505,22,-0.05332569032907486,25,-0.05448915809392929
0.2060437798500061,-0.07186384499073029,50,12,-0.07567322999238968,18,-0.07206396758556366,33,-0.0519302636384964,35,-0.054038841277360916
0.2060437798500061,-0.07186384499073029,60,17,-0.07499391585588455,31,-0.06802468001842499,44,-0.04534362629055977,45,-0.05242079123854637
0.2060437798500061,-0.07186384499073029,70,21,-0.07603318989276886,40,-0.06540532410144806,56,-0.04243255779147148,52,-0.049825869500637054
0.2060437798500061,-0.07186384499073029,80,30,-0.07595743983983994,46,-0.06977884471416473,67,-0.04052688553929329,65,-0.0466683954000473
0.2060437798500061,-0.07186384499073029,90,36,-0.07516548782587051,55,-0.06854620575904846,76,-0.03771721571683884,79,-0.043354298919439316
0.2060437798500061,-0.07186384499073029,100,38,-0.0740521028637886,61,-0.06604069471359253,87,-0.03930722177028656,90,-0.04291454330086708
0.2060437798500061,-0.07186384499073029,200,128,-0.06746042519807816,160,-0.05302060395479202,183,-0.018488595262169838,186,-0.02950693853199482
0.2060437798500061,-0.07186384499073029,300,223,-0.06039901822805405,264,-0.03406761214137077,279,-0.00697876513004303,281,-0.010234036482870579
0.2060437798500061,-0.07186384499073029,400,330,-0.045780591666698456,364,-0.019055653363466263,386,0.0022316002286970615,383,0.008858392015099525
0.2060437798500061,-0.07186384499073029,500,426,-0.03646393492817879,459,-0.006137726362794638,485,0.01296840887516737,487,0.034019678831100464
0.2060437798500061,-0.07186384499073029,600,519,-0.029069775715470314,562,0.008219744078814983,585,0.036670878529548645,584,0.04224887490272522
0.2060437798500061,-0.07186384499073029,700,613,-0.026588259264826775,665,0.01800789125263691,687,0.054421503096818924,684,0.06494535505771637
0.2060437798500061,-0.07186384499073029,800,718,-0.018225841224193573,762,0.03348100185394287,790,0.07778847962617874,786,0.08399318903684616
0.2060437798500061,-0.07186384499073029,900,818,-0.010547108016908169,860,0.04771309345960617,889,0.10771813988685608,885,0.09297256916761398
0.2060437798500061,-0.07186384499073029,1000,933,-0.006868788506835699,968,0.051174096763134,988,0.11684106290340424,983,0.10532687604427338
0.2060437798500061,-0.07186384499073029,1100,1049,-0.0011895785573869944,1068,0.06000350043177605,1091,0.13197782635688782,1085,0.1143932044506073
0.2060437798500061,-0.07186384499073029,1200,1151,0.005757305771112442,1177,0.06855250149965286,1193,0.14732958376407623,1190,0.12138370424509048
0.2060437798500061,-0.07186384499073029,1300,1252,0.014667087234556675,1279,0.07930873334407806,1292,0.15910442173480988,1290,0.12491123378276825
0.2060437798500061,-0.07186384499073029,1400,1362,0.02845226600766182,1377,0.09083011746406555,1388,0.16362842917442322,1390,0.1387273073196411
0.2060437798500061,-0.07186384499073029,1500,1470,0.03093685209751129,1476,0.10000639408826828,1487,0.17818915843963623,1487,0.14525820314884186
0.2060437798500061,-0.07186384499073029,1600,1569,0.03945428505539894,1576,0.10929391533136368,1584,0.19978642463684082,1587,0.16468173265457153
0.2060437798500061,-0.07186384499073029,1700,1665,0.04433031752705574,1674,0.1019003614783287,1687,0.22193141281604767,1690,0.16745683550834656
0.2060437798500061,-0.07186384499073029,1800,1765,0.05026267096400261,1776,0.10816093534231186,1788,0.23272795975208282,1789,0.16601520776748657
0.2060437798500061,-0.07186384499073029,1900,1873,0.054661963135004044,1880,0.10737840831279755,1888,0.22437825798988342,1890,0.16771283745765686
