baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP-IG-JS,loss_EAP-IG-JS
6.122833728790283,-6.719018459320068,100,85,-1.0225343704223633,90,-0.2912987470626831,89,-0.0938500463962555,92,-0.24266929924488068
6.122833728790283,-6.719018459320068,200,189,0.8597544431686401,192,2.3191864490509033,192,2.663294792175293,191,2.311940908432007
6.122833728790283,-6.719018459320068,300,284,1.745144009590149,291,3.1472041606903076,291,3.6618080139160156,284,3.571347236633301
6.122833728790283,-6.719018459320068,400,380,2.3081774711608887,386,3.6696219444274902,392,4.3027496337890625,388,4.303976058959961
6.122833728790283,-6.719018459320068,500,471,3.0122146606445312,479,4.206521034240723,487,4.4467010498046875,483,4.328379154205322
6.122833728790283,-6.719018459320068,600,573,3.546016216278076,582,4.435113430023193,587,4.631742477416992,586,4.66610860824585
6.122833728790283,-6.719018459320068,700,673,3.3939642906188965,678,4.605854511260986,685,4.9050211906433105,685,4.757297515869141
6.122833728790283,-6.719018459320068,800,778,3.4539361000061035,784,4.854616165161133,787,5.024827003479004,783,4.919833183288574
6.122833728790283,-6.719018459320068,900,881,3.686958074569702,882,4.955047607421875,888,5.0948028564453125,884,5.022942066192627
6.122833728790283,-6.719018459320068,1000,984,3.880842685699463,983,5.2343950271606445,987,5.132960319519043,988,5.15878438949585
