baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP-IG-JS,loss_EAP-IG-JS
0.8809229135513306,-3.2205755710601807,30,21,-2.2080986499786377,24,-1.790220856666565,23,-2.089996576309204,19,-2.2307746410369873
0.8809229135513306,-3.2205755710601807,40,28,-1.8486672639846802,32,-1.3849157094955444,33,-1.7194592952728271,27,-2.0021677017211914
0.8809229135513306,-3.2205755710601807,50,37,-1.3917872905731201,42,-1.050934910774231,39,-1.437503695487976,34,-1.6521143913269043
0.8809229135513306,-3.2205755710601807,60,49,-1.1699225902557373,50,-0.9270700812339783,47,-1.1548466682434082,46,-1.3200520277023315
0.8809229135513306,-3.2205755710601807,70,59,-1.0603052377700806,62,-0.5556955337524414,59,-1.0845261812210083,56,-0.9536610841751099
0.8809229135513306,-3.2205755710601807,80,69,-0.9887646436691284,72,-0.3715263903141022,70,-0.8795953392982483,69,-0.976969301700592
0.8809229135513306,-3.2205755710601807,90,76,-0.9403751492500305,80,-0.30416208505630493,82,-0.8795561790466309,74,-0.9294875860214233
0.8809229135513306,-3.2205755710601807,100,86,-0.8740847706794739,95,-0.34670290350914,89,-0.868643045425415,81,-0.9311986565589905
0.8809229135513306,-3.2205755710601807,200,188,0.11347873508930206,189,-0.19157665967941284,180,-0.08982186019420624,175,-0.2261143922805786
0.8809229135513306,-3.2205755710601807,300,284,0.24918442964553833,279,0.24145251512527466,267,0.18274345993995667,267,-0.03529691323637962
0.8809229135513306,-3.2205755710601807,400,379,-0.08115677535533905,366,0.4014488756656647,361,0.2787255346775055,358,0.439303994178772
0.8809229135513306,-3.2205755710601807,500,469,0.16899141669273376,459,0.3629891574382782,452,0.5854312777519226,447,0.6640670895576477
0.8809229135513306,-3.2205755710601807,600,569,0.4797269403934479,560,0.5398976802825928,535,0.5786359310150146,529,0.6288936734199524
0.8809229135513306,-3.2205755710601807,700,668,0.6232045888900757,676,0.5142925977706909,629,0.6666048169136047,625,0.7252130508422852
0.8809229135513306,-3.2205755710601807,800,761,0.6608278751373291,764,0.48792943358421326,716,0.6479526162147522,717,0.6762550473213196
0.8809229135513306,-3.2205755710601807,900,853,0.7425159215927124,860,0.490425705909729,802,0.5055781006813049,830,0.7212836146354675
0.8809229135513306,-3.2205755710601807,1000,945,0.6908319592475891,955,0.5201016664505005,920,0.5203138589859009,955,0.7800191640853882
