baseline,corrupted_baseline,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP-IG-JS,loss_EAP-IG-JS,edges
0.1572799533605575,-0.1572799533605575,0,-0.1572799533605575,92,-0.138083666563034,94,-0.1259498447179794,93,-0.1309342086315155,100
0.1572799533605575,-0.1572799533605575,0,-0.1572799533605575,171,-0.1083634570240974,184,-0.0495350398123264,177,-0.0501044392585754,200
0.1572799533605575,-0.1572799533605575,71,-0.1576594561338424,248,-0.0133465621620416,255,0.0597252175211906,256,0.0457227118313312,300
0.1572799533605575,-0.1572799533605575,226,-0.1576944142580032,326,0.0743781104683876,343,0.0880235433578491,368,0.0982902571558952,400
0.1572799533605575,-0.1572799533605575,296,-0.1576459109783172,417,0.094395026564598,422,0.1212643235921859,458,0.1188868954777717,500
0.1572799533605575,-0.1572799533605575,349,-0.157572790980339,513,0.1133483797311782,540,0.1351841241121292,557,0.1323114335536956,600
0.1572799533605575,-0.1572799533605575,447,-0.1574106812477111,613,0.1209205910563469,627,0.143669456243515,666,0.1395453512668609,700
0.1572799533605575,-0.1572799533605575,530,-0.1575669795274734,705,0.1252381503582,732,0.1498554199934005,758,0.1451316028833389,800
0.1572799533605575,-0.1572799533605575,720,-0.1574127972126007,803,0.1287581324577331,867,0.1525766253471374,853,0.1473655104637146,900
0.1572799533605575,-0.1572799533605575,807,0.115750253200531,916,0.1355283707380294,970,0.1549367308616638,957,0.1533243060111999,1000
