baseline,corrupted_baseline,edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP-IG-JS,loss_EAP-IG-JS
0.8143224120140076,-0.4565732181072235,30,27,-0.041332826018333435,29,0.030411461368203163,28,-0.0654778927564621,29,-0.03567618876695633
0.8143224120140076,-0.4565732181072235,40,36,0.005856545642018318,40,0.13836361467838287,39,0.14192785322666168,40,0.046314697712659836
0.8143224120140076,-0.4565732181072235,50,44,0.1312965750694275,50,0.3172779679298401,50,0.23571424186229706,50,0.23477722704410553
0.8143224120140076,-0.4565732181072235,60,51,0.17482680082321167,60,0.390461266040802,60,0.33477362990379333,60,0.35793498158454895
0.8143224120140076,-0.4565732181072235,70,59,0.1951819658279419,69,0.5088146328926086,70,0.388702929019928,70,0.4042515754699707
0.8143224120140076,-0.4565732181072235,80,73,0.3124610483646393,79,0.56302809715271,80,0.4843733608722687,79,0.4710189998149872
0.8143224120140076,-0.4565732181072235,90,82,0.35538414120674133,89,0.5601907968521118,90,0.5501517057418823,89,0.5708399415016174
0.8143224120140076,-0.4565732181072235,100,89,0.4356318414211273,97,0.5836037397384644,100,0.5801721215248108,99,0.5918275117874146
0.8143224120140076,-0.4565732181072235,200,186,0.6603976488113403,190,0.7321221232414246,186,0.736076831817627,185,0.7473623156547546
0.8143224120140076,-0.4565732181072235,300,282,0.7189353108406067,278,0.7554419040679932,287,0.7639783620834351,283,0.7705375552177429
0.8143224120140076,-0.4565732181072235,400,386,0.7429793477058411,378,0.7938521504402161,378,0.7449295520782471,381,0.7568468451499939
0.8143224120140076,-0.4565732181072235,500,474,0.7570749521255493,482,0.7893790006637573,481,0.7343102693557739,478,0.7926178574562073
0.8143224120140076,-0.4565732181072235,600,573,0.7527661323547363,578,0.7942919731140137,583,0.7266691327095032,578,0.7529230713844299
0.8143224120140076,-0.4565732181072235,700,670,0.766450822353363,675,0.8143402338027954,673,0.7441619634628296,673,0.7707114815711975
0.8143224120140076,-0.4565732181072235,800,774,0.7691252827644348,771,0.808699905872345,771,0.7621737718582153,773,0.7951450347900391
0.8143224120140076,-0.4565732181072235,900,879,0.7645546197891235,862,0.8081974983215332,873,0.7606427073478699,864,0.778255820274353
0.8143224120140076,-0.4565732181072235,1000,973,0.7688570022583008,956,0.8224361538887024,973,0.7619935870170593,959,0.796912670135498
