baseline,corrupted_baseline,edges,edges_real,loss_real,edges_real-KL,loss_real-KL,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP,loss_EAP
0.2060437798500061,-0.07186384499073029,30,0,-0.07186384499073029,5,-0.06709083169698715,15,-0.053624093532562256,16,-0.05561373755335808,3,-0.07675857841968536
0.2060437798500061,-0.07186384499073029,40,7,-0.07690531760454178,10,-0.07190173864364624,21,-0.05227424204349518,22,-0.05332574620842934,5,-0.07702548801898956
0.2060437798500061,-0.07186384499073029,50,13,-0.07334625720977783,18,-0.07206396013498306,28,-0.05662163719534874,33,-0.051930226385593414,13,-0.07537441700696945
0.2060437798500061,-0.07186384499073029,60,20,-0.07475882023572922,31,-0.0680246502161026,32,-0.06162339076399803,44,-0.04534364864230156,17,-0.074993796646595
0.2060437798500061,-0.07186384499073029,70,24,-0.07525419443845749,40,-0.06540526449680328,40,-0.06061897799372673,56,-0.04243249446153641,21,-0.0760331079363823
0.2060437798500061,-0.07186384499073029,80,33,-0.07528411597013474,46,-0.06977885961532593,46,-0.06092796474695206,67,-0.040526870638132095,30,-0.07595748454332352
0.2060437798500061,-0.07186384499073029,90,43,-0.0750993937253952,55,-0.06854616850614548,66,-0.05699879303574562,76,-0.03771723061800003,36,-0.07516545057296753
0.2060437798500061,-0.07186384499073029,100,52,-0.07197675108909607,61,-0.0660407692193985,73,-0.05635590851306915,84,-0.03854218125343323,38,-0.07405202835798264
0.2060437798500061,-0.07186384499073029,200,136,-0.06375933438539505,160,-0.05199933424592018,170,-0.03837768733501434,183,-0.01848856918513775,128,-0.06793078780174255
0.2060437798500061,-0.07186384499073029,300,236,-0.054585255682468414,264,-0.03416929766535759,272,-0.019932689145207405,279,-0.006978762336075306,223,-0.060398973524570465
0.2060437798500061,-0.07186384499073029,400,326,-0.04099990800023079,365,-0.019377795979380608,367,-0.007834061048924923,386,0.0024629123508930206,329,-0.04579321667551994
0.2060437798500061,-0.07186384499073029,500,437,-0.023792603984475136,460,-0.006226753816008568,471,0.010014442726969719,485,0.01255603227764368,426,-0.03646394610404968
0.2060437798500061,-0.07186384499073029,600,532,-0.008905374445021152,562,0.00821977574378252,571,0.01751629263162613,585,0.036219947040081024,519,-0.028927356004714966
0.2060437798500061,-0.07186384499073029,700,628,0.0033496904652565718,665,0.018007885664701462,667,0.026283830404281616,686,0.05439113453030586,613,-0.024739578366279602
0.2060437798500061,-0.07186384499073029,800,723,0.017712661996483803,761,0.0322515107691288,771,0.04014339670538902,790,0.07841669023036957,719,-0.017405498772859573
0.2060437798500061,-0.07186384499073029,900,818,0.02767697162926197,860,0.04684140533208847,869,0.04800035431981087,889,0.10793757438659668,820,-0.009536346420645714
0.2060437798500061,-0.07186384499073029,1000,909,0.039425138384103775,967,0.05459042638540268,977,0.05142408609390259,988,0.11684107780456543,934,-0.007103755138814449
0.2060437798500061,-0.07186384499073029,1100,1014,0.047115206718444824,1068,0.059478532522916794,1075,0.06581932306289673,1091,0.13159701228141785,1049,-0.0009188767871819437
0.2060437798500061,-0.07186384499073029,1200,1113,0.05396388843655586,1177,0.06795160472393036,1171,0.07951908558607101,1193,0.14732956886291504,1151,0.004128395114094019
0.2060437798500061,-0.07186384499073029,1300,1208,0.055216219276189804,1279,0.08068697154521942,1274,0.09572670608758926,1292,0.15779981017112732,1252,0.01583537831902504
0.2060437798500061,-0.07186384499073029,1400,1304,0.06666640192270279,1377,0.09060712158679962,1377,0.10436960309743881,1388,0.16362842917442322,1362,0.02817816473543644
0.2060437798500061,-0.07186384499073029,1500,1412,0.07901940494775772,1476,0.09876477718353271,1472,0.1111859679222107,1487,0.1851302832365036,1467,0.030675286427140236
0.2060437798500061,-0.07186384499073029,1600,1515,0.09017627686262131,1576,0.10872048884630203,1571,0.11651946604251862,1584,0.1985166370868683,1569,0.040222860872745514
0.2060437798500061,-0.07186384499073029,1700,1658,0.09334389120340347,1674,0.10276860743761063,1669,0.11783653497695923,1687,0.221641406416893,1665,0.04398385062813759
0.2060437798500061,-0.07186384499073029,1800,1751,0.10222411155700684,1776,0.10798793286085129,1771,0.11889977008104324,1788,0.230886310338974,1765,0.05096057057380676
0.2060437798500061,-0.07186384499073029,1900,1852,0.1062227189540863,1880,0.10969356447458267,1868,0.11769131571054459,1889,0.23480969667434692,1873,0.05396589636802673
0.2060437798500061,-0.07186384499073029,2000,1943,0.10454000532627106,1980,0.11742540448904037,1972,0.1182144358754158,1989,0.22849790751934052,1971,0.06334196031093597
