baseline,corrupted_baseline,edges,edges_real,loss_real,edges_real-KL,loss_real-KL,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP,loss_EAP
0.8809226751327515,-3.220578670501709,30,24,-1.5681513547897339,24,-1.79022216796875,25,-1.5925796031951904,23,-2.089998245239258,21,-2.2081003189086914
0.8809226751327515,-3.220578670501709,40,35,-1.2181711196899414,32,-1.384917140007019,35,-1.2181711196899414,33,-1.71946120262146,28,-1.8486696481704712
0.8809226751327515,-3.220578670501709,50,43,-1.013299822807312,42,-1.0509353876113892,45,-0.9096578359603882,39,-1.4375038146972656,37,-1.3917888402938843
0.8809226751327515,-3.220578670501709,60,55,-0.5132583379745483,50,-0.9270714521408081,54,-0.5695905685424805,47,-1.1548467874526978,49,-1.1699235439300537
0.8809226751327515,-3.220578670501709,70,66,-0.33803340792655945,62,-0.5556961894035339,61,-0.36342889070510864,59,-1.0845247507095337,59,-1.0603058338165283
0.8809226751327515,-3.220578670501709,80,77,-0.13446581363677979,72,-0.3715258538722992,75,-0.2617282271385193,70,-0.8795957565307617,69,-0.988766074180603
0.8809226751327515,-3.220578670501709,90,86,-0.11859505623579025,80,-0.30416274070739746,84,-0.2263403683900833,82,-0.8795570731163025,76,-0.9403755068778992
0.8809226751327515,-3.220578670501709,100,96,0.010931061580777168,95,-0.3467036485671997,95,-0.22311760485172272,89,-0.8686424493789673,86,-0.8740867972373962
0.8809226751327515,-3.220578670501709,200,189,0.3706963062286377,189,-0.1915772557258606,192,0.3965322971343994,180,-0.0898212194442749,188,0.11347769945859909
0.8809226751327515,-3.220578670501709,300,284,0.46095818281173706,279,0.24145235121250153,288,0.5395786166191101,267,0.18274445831775665,284,0.24918456375598907
0.8809226751327515,-3.220578670501709,400,378,0.5491558313369751,366,0.401448130607605,386,0.5179871320724487,361,0.27872633934020996,379,-0.08115793764591217
0.8809226751327515,-3.220578670501709,500,469,0.5085504651069641,459,0.3629896342754364,473,0.5455237030982971,452,0.5854319930076599,469,0.16899161040782928
0.8809226751327515,-3.220578670501709,600,570,0.5228579640388489,560,0.5398979187011719,569,0.6216402649879456,535,0.5786361694335938,569,0.479727178812027
0.8809226751327515,-3.220578670501709,700,672,0.6208544969558716,676,0.5142921209335327,680,0.6571586728096008,629,0.6666041612625122,668,0.6232048273086548
0.8809226751327515,-3.220578670501709,800,761,0.6170642375946045,764,0.48792827129364014,774,0.645941436290741,716,0.6479535698890686,761,0.6608281135559082
0.8809226751327515,-3.220578670501709,900,854,0.7391482591629028,860,0.49042466282844543,881,0.6610652804374695,802,0.5055772066116333,853,0.7425171732902527
0.8809226751327515,-3.220578670501709,1000,944,0.7559186816215515,955,0.5201011300086975,977,0.6095563769340515,920,0.5203138589859009,945,0.6908317804336548
