baseline,corrupted_baseline,edges,edges_real,loss_real,edges_real-KL,loss_real-KL,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP,loss_EAP
0.15727993845939636,-0.15727995336055756,30,0,-0.15727995336055756,0,-0.15727995336055756,3,-0.15607184171676636,18,-0.15458059310913086,0,-0.15727995336055756
0.15727993845939636,-0.15727995336055756,40,0,-0.15727995336055756,0,-0.15727995336055756,19,-0.15236377716064453,29,-0.1479298621416092,0,-0.15727995336055756
0.15727993845939636,-0.15727995336055756,50,0,-0.15727995336055756,18,-0.15578624606132507,25,-0.1510637253522873,37,-0.1470719575881958,0,-0.15727995336055756
0.15727993845939636,-0.15727995336055756,60,0,-0.15727995336055756,45,-0.15320080518722534,32,-0.14922714233398438,49,-0.1415330022573471,0,-0.15727995336055756
0.15727993845939636,-0.15727995336055756,70,2,-0.1543094962835312,61,-0.1503530740737915,36,-0.14876723289489746,61,-0.13845416903495789,0,-0.15727995336055756
0.15727993845939636,-0.15727995336055756,80,4,-0.15647034347057343,67,-0.14390364289283752,41,-0.14583341777324677,75,-0.1336546540260315,0,-0.15727995336055756
0.15727993845939636,-0.15727995336055756,90,29,-0.15657511353492737,77,-0.1362425833940506,79,-0.13684788346290588,86,-0.1283322274684906,0,-0.15727995336055756
0.15727993845939636,-0.15727995336055756,100,51,-0.1531437784433365,92,-0.13808363676071167,88,-0.1287699192762375,96,-0.1254768967628479,0,-0.15727995336055756
0.15727993845939636,-0.15727995336055756,200,139,-0.12150251120328903,172,-0.11452748626470566,170,-0.038140103220939636,185,-0.0329471193253994,115,-0.12790235877037048
0.15727993845939636,-0.15727995336055756,300,201,-0.06925645470619202,252,-0.0077881719917058945,243,0.04027227684855461,256,0.050860147923231125,186,-0.08605386316776276
0.15727993845939636,-0.15727995336055756,400,294,0.027022475376725197,326,0.061578404158353806,331,0.0910746306180954,340,0.09776514768600464,279,-0.04048088937997818
0.15727993845939636,-0.15727995336055756,500,355,0.05279327929019928,408,0.09065555781126022,415,0.11425714194774628,446,0.12484180927276611,380,-0.02228926122188568
0.15727993845939636,-0.15727995336055756,600,453,0.08662496507167816,512,0.10386214405298233,493,0.1358269900083542,558,0.14034698903560638,450,0.0011900371173396707
0.15727993845939636,-0.15727995336055756,700,548,0.0991625264286995,611,0.10937604308128357,589,0.14484860002994537,656,0.1490972489118576,528,0.08099380880594254
0.15727993845939636,-0.15727995336055756,800,632,0.11614895612001419,710,0.12502199411392212,689,0.14993275701999664,748,0.15456072986125946,623,0.12063433229923248
0.15727993845939636,-0.15727995336055756,900,727,0.12451022118330002,803,0.12381121516227722,781,0.15076692402362823,857,0.1561749130487442,701,0.13256120681762695
0.15727993845939636,-0.15727995336055756,1000,849,0.1266828328371048,907,0.1300259530544281,888,0.15256479382514954,967,0.15906549990177155,803,0.13653534650802612
