baseline,corrupted_baseline,edges,edges_real,loss_real,edges_real-KL,loss_real-KL,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL,edges_EAP,loss_EAP
6.122833728790283,-6.71901798248291,30,23,-3.272737503051758,25,-3.121518135070801,23,-3.5523476600646973,27,-2.93298077583313,21,-3.575216770172119
6.122833728790283,-6.71901798248291,40,29,-3.278311014175415,31,-2.7959678173065186,32,-3.1087589263916016,35,-2.595296859741211,28,-3.5868453979492188
6.122833728790283,-6.71901798248291,50,40,-3.0606770515441895,43,-2.4401161670684814,42,-2.9630513191223145,45,-2.063429117202759,38,-3.290555715560913
6.122833728790283,-6.71901798248291,60,52,-2.5932185649871826,52,-1.9427045583724976,49,-2.6967267990112305,54,-1.5109432935714722,43,-2.91483736038208
6.122833728790283,-6.71901798248291,70,60,-2.0196146965026855,63,-1.26361083984375,61,-1.8802090883255005,65,-0.9468634128570557,53,-2.549426555633545
6.122833728790283,-6.71901798248291,80,68,-1.583513617515564,72,-0.9515466094017029,69,-1.601712942123413,74,-0.5205683708190918,58,-2.337951421737671
6.122833728790283,-6.71901798248291,90,75,-1.1490579843521118,82,-0.5987560749053955,76,-1.2177598476409912,81,-0.3065635561943054,74,-1.6819043159484863
6.122833728790283,-6.71901798248291,100,84,-0.8565441966056824,90,-0.2912975251674652,84,-0.9310529232025146,89,-0.09385024756193161,84,-1.0434404611587524
6.122833728790283,-6.71901798248291,200,191,1.8156646490097046,191,2.3181514739990234,192,1.7676496505737305,192,2.663296699523926,190,0.8646692633628845
6.122833728790283,-6.71901798248291,300,281,2.634397506713867,291,3.147202968597412,286,2.5024077892303467,291,3.6618106365203857,284,1.7864974737167358
6.122833728790283,-6.71901798248291,400,381,2.9729511737823486,386,3.669623851776123,379,3.0497934818267822,392,4.3285064697265625,381,2.3665120601654053
6.122833728790283,-6.71901798248291,500,477,3.5145061016082764,479,4.194627285003662,475,3.45691180229187,487,4.449212074279785,472,3.036810874938965
6.122833728790283,-6.71901798248291,600,578,3.8275063037872314,582,4.434418678283691,580,3.808310031890869,587,4.658115863800049,573,3.3899192810058594
6.122833728790283,-6.71901798248291,700,672,4.138061046600342,678,4.595507621765137,677,3.9499001502990723,685,4.952059268951416,675,3.4627232551574707
6.122833728790283,-6.71901798248291,800,781,4.287235260009766,784,4.822348594665527,776,4.2248735427856445,787,5.045942783355713,783,3.4306061267852783
6.122833728790283,-6.71901798248291,900,882,4.39061975479126,881,4.950446605682373,876,4.337377071380615,888,5.106550216674805,881,3.5840067863464355
6.122833728790283,-6.71901798248291,1000,981,4.530366897583008,981,5.250288009643555,982,4.459630489349365,987,5.123351573944092,983,3.9020540714263916
