depth,ioi_vanilla,ioi_ig,greater-than_vanilla,greater-than_ig,gender-bias_vanilla,gender-bias_ig,sva_vanilla,sva_ig,fact-retrieval-comma_vanilla,fact-retrieval-comma_ig,hypernymy-comma_vanilla,hypernymy-comma_ig
1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,0.25,0.5,0.5,1.0,0.25,1.0,0.25,0.75,0.25,1.0,0.25,1.0
3,0.3888889253139496,0.6666666865348816,0.6666666865348816,0.8888888955116272,0.5,1.0,0.3888889253139496,0.8333333134651184,0.3888889253139496,1.0,0.3888889253139496,1.0
4,0.4791666865348816,0.75,0.75,0.9166666865348816,0.5625,0.9375,0.4791666865348816,0.8125,0.4791666865348816,1.0,0.4791666865348816,1.0
5,0.5433333516120911,0.800000011920929,0.800000011920929,0.9333333969116211,0.6100000143051147,0.9100000262260437,0.5433333516120911,0.8500000238418579,0.503333330154419,0.9600000381469727,0.5433333516120911,0.9600000381469727
6,0.5638889074325562,0.805555522441864,0.805555522441864,0.9166666865348816,0.675000011920929,0.8972222208976746,0.5916666388511658,0.875,0.5583333373069763,0.9666666984558105,0.5916666388511658,0.9388888478279114
7,0.5853741765022278,0.8129252195358276,0.8129252195358276,0.9081632494926453,0.701020359992981,0.871088445186615,0.6295918226242065,0.8928571343421936,0.6010203957557678,0.9714285731315613,0.6295918226242065,0.9068027138710022
8,0.6059523820877075,0.805059552192688,0.820684552192688,0.9040179252624512,0.7071428894996643,0.8715774416923523,0.6602678298950195,0.890625,0.6352678537368774,0.9593750238418579,0.6602678298950195,0.8872024416923523
9,0.6250441074371338,0.802028238773346,0.8282628059387207,0.902336835861206,0.7149912118911743,0.8735009431838989,0.6856701970100403,0.8904321193695068,0.6634480357170105,0.9515431523323059,0.6856701970100403,0.8750441074371338
10,0.632539689540863,0.8018254041671753,0.8354365229606628,0.9021031260490417,0.7234920859336853,0.876150906085968,0.7071031928062439,0.8913888931274414,0.6771032214164734,0.9363889694213867,0.6971032023429871,0.8775397539138794
11,0.6328873634338379,0.803312361240387,0.8421323895454407,0.8944739699363708,0.732100248336792,0.8708809018135071,0.7254657745361328,0.8847337365150452,0.6899285316467285,0.9173783659934998,0.7081103920936584,0.8721435070037842
