depth,ioi_real_EAP,ioi_real_EAP-IG,ioi_EAP_EAP-IG,greater-than_real_EAP,greater-than_real_EAP-IG,greater-than_EAP_EAP-IG,gender-bias_real_EAP,gender-bias_real_EAP-IG,gender-bias_EAP_EAP-IG,sva_real_EAP,sva_real_EAP-IG,sva_EAP_EAP-IG,fact-retrieval-comma_real_EAP,fact-retrieval-comma_real_EAP-IG,fact-retrieval-comma_EAP_EAP-IG,hypernymy-comma_real_EAP,hypernymy-comma_real_EAP-IG,hypernymy-comma_EAP_EAP-IG
25,0.0,0.75,0.0,1.0,1.0,1.0,0.9,0.7272727272727273,0.8,0.0,0.0,0.0,0.7,0.7272727272727273,0.5,0.0,0.4444444444444444,0.0
26,0.0,1.0,0.0,0.9166666666666666,1.0,0.9166666666666666,0.9,0.8181818181818182,0.7272727272727273,0.0,0.0,0.0,0.9,0.75,0.6666666666666666,0.0,0.4444444444444444,0.0
27,0.0,1.0,0.0,0.9166666666666666,0.9166666666666666,0.8461538461538461,0.9,0.9090909090909091,0.8181818181818182,0.0,0.0,0.0,0.9,0.75,0.6666666666666666,0.0,0.4,0.0
28,0.0,1.0,0.0,0.9166666666666666,0.9166666666666666,0.8461538461538461,0.75,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,0.9,0.75,0.6666666666666666,0.0,0.5,0.0
29,0.0,0.9230769230769231,0.0,1.0,0.9230769230769231,0.9230769230769231,0.75,0.8333333333333334,0.9090909090909091,0.0,0.0,0.0,0.9,0.8333333333333334,0.75,0.0,0.6,0.0
30,0.0,0.9230769230769231,0.0,0.9230769230769231,1.0,0.9230769230769231,0.8333333333333334,1.0,0.8333333333333334,0.0,0.0,0.0,0.9,0.8333333333333334,0.75,0.0,0.6,0.0
31,0.0,0.9230769230769231,0.0,0.9230769230769231,1.0,0.9230769230769231,0.8333333333333334,1.0,0.8333333333333334,0.0,0.0,0.0,0.9,0.8333333333333334,0.75,0.0,0.7,0.0
32,0.0,0.9230769230769231,0.0,0.8,0.9285714285714286,0.75,0.7692307692307693,1.0,0.7692307692307693,0.0,0.0,0.0,0.8181818181818182,0.9166666666666666,0.75,0.0,0.8,0.0
33,0.0,0.9230769230769231,0.0,0.8666666666666667,0.8666666666666667,0.75,0.7692307692307693,1.0,0.7692307692307693,0.0,0.0,0.0,0.75,1.0,0.75,0.0,0.9,0.0
34,0.0,1.0,0.0,0.8666666666666667,0.8666666666666667,0.75,0.8461538461538461,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.75,1.0,0.75,0.0,0.9090909090909091,0.0
35,0.0,0.9285714285714286,0.0,0.8666666666666667,0.8125,0.7058823529411765,0.8461538461538461,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.75,1.0,0.75,0.0,0.9090909090909091,0.0
