baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
0.9165433645248413,-0.2833142578601837,100,1591857,80,-0.1311810165643692,92,0.11443809419870377,81,0.047127269208431244
0.9165433645248413,-0.2833142578601837,6457,1591857,6212,0.8813697695732117,6320,0.8936306834220886,6277,0.9037647247314453
0.9165433645248413,-0.2833142578601837,12814,1591857,12579,0.8983713388442993,12679,0.8934181332588196,12668,0.8994526863098145
0.9165433645248413,-0.2833142578601837,19171,1591857,19026,0.897827684879303,19071,0.8944506645202637,19017,0.8970187306404114
0.9165433645248413,-0.2833142578601837,25528,1591857,25384,0.9016508460044861,25448,0.8898190855979919,25361,0.895539402961731
0.9165433645248413,-0.2833142578601837,31885,1591857,31802,0.912038266658783,31819,0.9031145572662354,31709,0.9028660655021667
0.9165433645248413,-0.2833142578601837,38242,1591857,38161,0.9132742285728455,38164,0.8986613750457764,38044,0.9020423293113708
0.9165433645248413,-0.2833142578601837,44599,1591857,44524,0.9220425486564636,44534,0.9012894630432129,44405,0.8993942141532898
0.9165433645248413,-0.2833142578601837,50956,1591857,50907,0.9154377579689026,50900,0.9016255140304565,50741,0.8990007042884827
0.9165433645248413,-0.2833142578601837,57313,1591857,57274,0.9124771356582642,57262,0.8929021954536438,57074,0.9024922847747803
0.9165433645248413,-0.2833142578601837,63670,1591857,63620,0.9137687683105469,63628,0.898418664932251,63633,0.9071012735366821
