baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
0.9396819472312927,-3.0474536418914795,100,1591857,66,-1.7244964838027954,77,-1.1499429941177368,79,-1.4371020793914795
0.9396819472312927,-3.0474536418914795,6457,1591857,6082,0.6861825585365295,6157,0.821053147315979,6199,1.047983169555664
0.9396819472312927,-3.0474536418914795,12814,1591857,12426,0.687023401260376,12466,0.8127298951148987,12521,0.8271865248680115
0.9396819472312927,-3.0474536418914795,19171,1591857,18845,0.7540057301521301,18866,0.7626783847808838,18858,0.8296560049057007
0.9396819472312927,-3.0474536418914795,25528,1591857,25292,0.8292503952980042,25249,0.7108426690101624,25235,0.83655846118927
0.9396819472312927,-3.0474536418914795,31885,1591857,31648,0.8390573263168335,31594,0.8132891058921814,31566,0.8394972085952759
0.9396819472312927,-3.0474536418914795,38242,1591857,38087,0.8742895722389221,38012,0.8308584690093994,37983,0.7674642205238342
0.9396819472312927,-3.0474536418914795,44599,1591857,44451,0.7581909894943237,44402,0.7885738611221313,44386,0.810194194316864
0.9396819472312927,-3.0474536418914795,50956,1591857,50852,0.769234299659729,50783,0.8022421002388,50773,0.7906852960586548
0.9396819472312927,-3.0474536418914795,57313,1591857,57219,0.7850068807601929,57155,0.8294119834899902,57113,0.7822927236557007
0.9396819472312927,-3.0474536418914795,63670,1591857,63585,0.7664557099342346,63513,0.7773036956787109,63469,0.800686776638031
