baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
3.7705957889556885,-0.02320529893040657,100,1591857,0,-0.023180007934570312,68,0.5643792152404785,53,0.3998481035232544
3.7705957889556885,-0.02320529893040657,6457,1591857,5777,2.1203975677490234,6130,2.460139513015747,6281,2.3699533939361572
3.7705957889556885,-0.02320529893040657,12814,1591857,12165,2.8322954177856445,12443,2.7049427032470703,12573,2.969454765319824
3.7705957889556885,-0.02320529893040657,19171,1591857,18758,3.0182037353515625,18801,2.9986319541931152,18975,3.202069044113159
3.7705957889556885,-0.02320529893040657,25528,1591857,25240,3.005349636077881,25184,3.1412134170532227,25316,3.3907055854797363
3.7705957889556885,-0.02320529893040657,31885,1591857,31578,3.0986526012420654,31577,3.1386613845825195,31639,3.345904588699341
3.7705957889556885,-0.02320529893040657,38242,1591857,37929,3.2243480682373047,37925,3.358999729156494,38111,3.4161367416381836
3.7705957889556885,-0.02320529893040657,44599,1591857,44316,3.303389549255371,44281,3.4353601932525635,44504,3.479266881942749
3.7705957889556885,-0.02320529893040657,50956,1591857,50658,3.345137119293213,50646,3.570950508117676,50878,3.5922369956970215
3.7705957889556885,-0.02320529893040657,57313,1591857,57095,3.3840887546539307,57029,3.7238287925720215,57238,3.574761390686035
3.7705957889556885,-0.02320529893040657,63670,1591857,63483,3.5530710220336914,63411,3.721250057220459,63599,3.5170509815216064
