baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
0.159315288066864,-0.14962348341941833,100,1591857,44,-0.1471363604068756,63,-0.13680501282215118,88,-0.07131882756948471
0.159315288066864,-0.14962348341941833,6457,1591857,6129,0.13551954925060272,6119,0.1456758826971054,6149,0.18786239624023438
0.159315288066864,-0.14962348341941833,12814,1591857,12578,0.14564812183380127,12553,0.1518210768699646,12563,0.1774558126926422
0.159315288066864,-0.14962348341941833,19171,1591857,18981,0.14911355078220367,19007,0.1553899049758911,19003,0.17545399069786072
0.159315288066864,-0.14962348341941833,25528,1591857,25373,0.15225882828235626,25347,0.15376432240009308,25355,0.17819540202617645
0.159315288066864,-0.14962348341941833,31885,1591857,31741,0.1598508059978485,31697,0.157088965177536,31737,0.17101579904556274
0.159315288066864,-0.14962348341941833,38242,1591857,38105,0.15994329750537872,38065,0.15591281652450562,38120,0.1675223410129547
0.159315288066864,-0.14962348341941833,44599,1591857,44476,0.16082246601581573,44450,0.15481820702552795,44477,0.15475912392139435
0.159315288066864,-0.14962348341941833,50956,1591857,50838,0.15907472372055054,50786,0.1527075320482254,50847,0.1514350175857544
0.159315288066864,-0.14962348341941833,57313,1591857,57199,0.157387375831604,57165,0.15372611582279205,57206,0.1509721726179123
0.159315288066864,-0.14962348341941833,63670,1591857,63564,0.15504325926303864,63535,0.15442024171352386,63570,0.15017113089561462
