baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
11.1947021484375,-11.382732391357422,100,2235025,21,-10.97114086151123,36,-10.264120101928711,36,-10.364623069763184
11.1947021484375,-11.382732391357422,9030,2235025,8567,2.279386281967163,8640,4.3974175453186035,8669,4.093824863433838
11.1947021484375,-11.382732391357422,17960,2235025,17615,5.391635417938232,17624,6.422582149505615,17607,6.448329448699951
11.1947021484375,-11.382732391357422,26890,2235025,26600,6.670330047607422,26622,7.563175678253174,26625,7.482034683227539
11.1947021484375,-11.382732391357422,35820,2235025,35586,7.6302618980407715,35588,8.233827590942383,35577,8.27234935760498
11.1947021484375,-11.382732391357422,44750,2235025,44558,8.290628433227539,44548,8.631683349609375,44522,8.820294380187988
11.1947021484375,-11.382732391357422,53680,2235025,53506,8.768451690673828,53503,8.899765968322754,53463,9.168763160705566
11.1947021484375,-11.382732391357422,62610,2235025,62456,9.097143173217773,62458,9.0468168258667,62445,9.422202110290527
11.1947021484375,-11.382732391357422,71540,2235025,71378,9.24433422088623,71395,9.277740478515625,71372,9.65523910522461
11.1947021484375,-11.382732391357422,80470,2235025,80335,9.434504508972168,80329,9.440335273742676,80314,9.931926727294922
11.1947021484375,-11.382732391357422,89400,2235025,89281,9.614204406738281,89285,9.677492141723633,89255,9.995073318481445
