baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
0.15793539583683014,-0.16009588539600372,100,2235025,0,-0.1600959599018097,4,-0.15843676030635834,65,-0.1573745459318161
0.15793539583683014,-0.16009588539600372,9030,2235025,8358,0.08681492507457733,8529,0.11741362512111664,8644,0.14737021923065186
0.15793539583683014,-0.16009588539600372,17960,2235025,17372,0.12384724617004395,17393,0.14043360948562622,17519,0.15342718362808228
0.15793539583683014,-0.16009588539600372,26890,2235025,26380,0.1365271508693695,26384,0.147816464304924,26527,0.15744438767433167
0.15793539583683014,-0.16009588539600372,35820,2235025,35311,0.14232641458511353,35400,0.15334552526474,35501,0.1584220826625824
0.15793539583683014,-0.16009588539600372,44750,2235025,44385,0.14646142721176147,44413,0.15547895431518555,44483,0.15742674469947815
0.15793539583683014,-0.16009588539600372,53680,2235025,53389,0.15056344866752625,53419,0.15745599567890167,53403,0.15762752294540405
0.15793539583683014,-0.16009588539600372,62610,2235025,62306,0.15332835912704468,62359,0.15834936499595642,62372,0.15923883020877838
0.15793539583683014,-0.16009588539600372,71540,2235025,71239,0.15475592017173767,71327,0.15834839642047882,71333,0.15889877080917358
0.15793539583683014,-0.16009588539600372,80470,2235025,80209,0.15514320135116577,80269,0.15982407331466675,80244,0.15915744006633759
0.15793539583683014,-0.16009588539600372,89400,2235025,89167,0.15565311908721924,89208,0.1594042330980301,89191,0.1600104123353958
