baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
1.1433228254318237,-3.850062370300293,100,2235025,72,-3.4563217163085938,76,-3.5283195972442627,69,-3.6437859535217285
1.1433228254318237,-3.850062370300293,9030,2235025,8557,1.0853127241134644,8653,1.0812666416168213,8613,0.7731214165687561
1.1433228254318237,-3.850062370300293,17960,2235025,17368,1.1347851753234863,17499,1.1369290351867676,17475,0.936149001121521
1.1433228254318237,-3.850062370300293,26890,2235025,26294,1.2171765565872192,26445,1.1292532682418823,26329,1.0750077962875366
1.1433228254318237,-3.850062370300293,35820,2235025,35359,1.236402153968811,35433,1.1243597269058228,35274,1.1463745832443237
1.1433228254318237,-3.850062370300293,44750,2235025,44365,1.1884599924087524,44347,1.2144438028335571,44215,1.197731852531433
1.1433228254318237,-3.850062370300293,53680,2235025,53333,1.1744743585586548,53299,1.236266851425171,53156,1.2072104215621948
1.1433228254318237,-3.850062370300293,62610,2235025,62360,1.1744699478149414,62292,1.260627031326294,62087,1.2002346515655518
1.1433228254318237,-3.850062370300293,71540,2235025,71316,1.18183171749115,71253,1.2289001941680908,71010,1.2052245140075684
1.1433228254318237,-3.850062370300293,80470,2235025,80232,1.1727174520492554,80215,1.2374356985092163,79921,1.1725757122039795
1.1433228254318237,-3.850062370300293,89400,2235025,89225,1.1749030351638794,89161,1.2383671998977661,88861,1.1389763355255127
