baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
0.9005686044692993,-0.18019412457942963,100,2235025,56,-0.16969531774520874,81,-0.13844025135040283,74,-0.13116222620010376
0.9005686044692993,-0.18019412457942963,9030,2235025,8745,0.8584926724433899,8790,0.8723118305206299,8760,0.8449939489364624
0.9005686044692993,-0.18019412457942963,17960,2235025,17666,0.8756410479545593,17774,0.8794002532958984,17745,0.8725917339324951
0.9005686044692993,-0.18019412457942963,26890,2235025,26682,0.8853845000267029,26759,0.8899046182632446,26680,0.8788604140281677
0.9005686044692993,-0.18019412457942963,35820,2235025,35608,0.8909945487976074,35667,0.8790217041969299,35683,0.8818730711936951
0.9005686044692993,-0.18019412457942963,44750,2235025,44553,0.8901272416114807,44637,0.8768689036369324,44593,0.8809218406677246
0.9005686044692993,-0.18019412457942963,53680,2235025,53523,0.8905511498451233,53554,0.8874601721763611,53516,0.8791689872741699
0.9005686044692993,-0.18019412457942963,62610,2235025,62428,0.8887823224067688,62463,0.8781160712242126,62411,0.8791084289550781
0.9005686044692993,-0.18019412457942963,71540,2235025,71387,0.8875001668930054,71405,0.8807632327079773,71311,0.8814487457275391
0.9005686044692993,-0.18019412457942963,80470,2235025,80332,0.8878187537193298,80352,0.8769233226776123,80217,0.8863700032234192
0.9005686044692993,-0.18019412457942963,89400,2235025,89303,0.8859561085700989,89283,0.8793448805809021,89234,0.8864666223526001
